row_id,lane,clause,anchor,binding,code_ref,test_ref,verdict,evidence,finding_id,reviewer,date
P-45,F,Rain proxy = contrast + droplet occlusion 0–30%,PHASE1_PARAMETERS #45 (src: IS §9),,,,,,,,
P-46,F,Partial destruction = per-tag knockout over sampled 2⁹,PHASE1_PARAMETERS #46 (src: IS §9),,,,,,,,
P-47,F,"Illuminance grid = {1, 2, 5, 10, 50, 100, 10³, 10⁴} lux",PHASE1_PARAMETERS #47 (src: IS §9),,,,,,,,
P-48,F,"Occlusion grids = outer 0–70%, inner 0–90%, 10% steps, independent",PHASE1_PARAMETERS #48 (src: IS §9),,,,,,,,
P-49,F,Host pitch/roll = ±20° uniform,"PHASE1_PARAMETERS #49 (src: IS §9, D-024)",,,,,,,,
P-50,F,DOE Tier 1 = one-factor marginal grids at nominal elsewhere,PHASE1_PARAMETERS #50 (src: D-021),,,,,,,,
P-51,F,"DOE Tier 2 = LHS, N ≥ 4,000 joint",PHASE1_PARAMETERS #51 (src: D-021),,,,,,,,
P-52,F,DOE Tier 3 = failure-replay set (A-007 artifacts),PHASE1_PARAMETERS #52 (src: D-021),,,,,,,,
P-53,F,"Total trials = ≥ 10,000","PHASE1_PARAMETERS #53 (src: MASTER_CONTEXT Phase 1, D-021)",,,,,,,,
P-54,F,"Latch predicate = 3 mm radial @ engagement depth, ≤0.1 m/s, 100 ms",PHASE1_PARAMETERS #54 (src: D-020),,,,,,,,
P-55,F,"Encounter time budget T = {5, 15, 30} min, default 15 (arbitrary)",PHASE1_PARAMETERS #55 (src: D-022),,,,,,,,
P-56,F,Success definition = D-020 within attempts ∧ t ≤ T; first/multi-attempt reported…,"PHASE1_PARAMETERS #56 (src: D-022, D-005)",,,,,,,,
P-57,F,Outcome classes = success \,PHASE1_PARAMETERS #57 (src: IS8-1…IS8-18 \),,,,,,,,
P-58,F,Trial record schema = header/state/result per WIRE_FORMAT,PHASE1_PARAMETERS #58 (src: WIRE_FORMAT),,,,,,,,
P-59,F,sim_truth logging rate = every physics step post-handoff; every kinematic step pre-h…,PHASE1_PARAMETERS #59 (src: WIRE_FORMAT),,,,,,,,
P-60,F,Seed policy = single RNG root per trial in `trial_header`; all streams de…,PHASE1_PARAMETERS #60 (src: WIRE_FORMAT),,,,,,,,
P-61,F,"Compute decision test = 1,000-trial representative workload, cloud CPU vs GPU spot,…","PHASE1_PARAMETERS #61 (src: ARCHITECTURE §5, A-004)",,,,,,,,
P-62,F,"Jam-detection thresholds (IS8-17) = swept, defaults arbitrary: F_ax_jam {50, 100, 200} N; F_lat…","PHASE1_PARAMETERS #62 (src: IS §8 row 17, D-027)",,,,,,,,
P-63,F,"k feasibility window and mask — **emits data, not verdicts*… = Per-class window [k_min, k_max], tuple order (μ_trac, m_rv)…",PHASE1_PARAMETERS #63 (src: D-028; studies/H04 Addendum A1),,,,,,,,
P-64,F,"Recovery-vehicle traction coefficient **μ_trac** (mud; dist… = swept {0.2, 0.35, 0.5}",PHASE1_PARAMETERS #64 (src: studies/H04 Addendum A1; D-028),,,,,,,,
P-65,F,"Recovery-vehicle mass **m_rv** (distinct from #36 head effe… = swept {300, 500, 800} kg — class range, independent of the …",PHASE1_PARAMETERS #65 (src: studies/H04 Addendum A1; D-028),,,,,,,,
IS8-01,A,Outer tag partially occluded — detect: Detection dropout / reprojection error rise; `degradation.occlusion_est`,INTERFACE_SPEC §8 row 1,,,,,,,,
IS8-02,A,Outer tag destroyed — detect: No ID-0 detection at expected range while mission context confirms target,INTERFACE_SPEC §8 row 2,,,,,,,,
IS8-03,A,Inner ring occluded — detect: < 2 inner tags decoded inside 300 mm — the insertion commit rule requires ≥ 2 f…,INTERFACE_SPEC §8 row 3,,,,,,,,
IS8-04,A,Inner ring destroyed — detect: Outer pose OK; zero inner detections at handoff range,INTERFACE_SPEC §8 row 4,,,,,,,,
IS8-05,A,Pose ambiguity flip — detect: `tags[].ambiguity_flag`; inter-tag or Cam A/B pose disagreement,INTERFACE_SPEC §8 row 5,,,,,,,,
IS8-06,A,Stud bent — detect: Vision pose nominal but contact wrench profile inconsistent with funnel model (…,INTERFACE_SPEC §8 row 6,,,,,,,,
IS8-07,A,Stud sheared / missing — detect: Inner-ring pose OK; no contact where stud expected,INTERFACE_SPEC §8 row 7,,,,,,,,
IS8-08,A,Plate detached / shifted — detect: Inter-tag transforms violate §3.5 calibration beyond mount tolerance,INTERFACE_SPEC §8 row 8,,,,,,,,
IS8-09,A,Funnel packed with debris — detect: Insertion force spike without latch confirm,INTERFACE_SPEC §8 row 9,,,,,,,,
IS8-10,A,Latch fails to engage — detect: No latch-confirm after full insertion stroke,INTERFACE_SPEC §8 row 10,,,,,,,,
IS8-11,A,"Latch engages, does not lock — detect: Intermittent confirm signal",INTERFACE_SPEC §8 row 11,,,,,,,,
IS8-12,A,"Latch locks, will not release — detect: Post-mission release fails",INTERFACE_SPEC §8 row 12,,,,,,,,
IS8-13,A,Host frame member deformed — detect: Plate pose skewed beyond §7 mounting assumptions; contact/vision mismatch,INTERFACE_SPEC §8 row 13,,,,,,,,
IS8-14,A,Wrong-ID decode — detect: Decoded ID outside expected variant block (§3.4),INTERFACE_SPEC §8 row 14,,,,,,,,
IS8-15,A,Comms loss mid-attempt — detect: Link monitor,INTERFACE_SPEC §8 row 15,,,,,,,,
IS8-16,A,"Lip strike (added 2026-08-01 with the annulus der… — detect: Contact wrench in the lip band [110, 125] mm before capture-plane crossing",INTERFACE_SPEC §8 row 16,,,,,,,,
IS8-17,A,"Jam at the throat (added 2026-08-02, D-027) — detect: Axial contact force > F_ax_jam ∧ \",INTERFACE_SPEC §8 row 17,,,,,,,,
IS8-18,A,Insertion incomplete at encounter budget (added 2… — detect: Attempt reached the capture plane; the insertion window ended on the encounter …,INTERFACE_SPEC §8 row 18,,,,,,,,
D-001,F,Mating principle is split,DECISIONS.md D-001,,,,,,,,
D-002,F,Heritage is claimed through the mounting boss and load path only,DECISIONS.md D-002,,,,,,,,
D-003,F,"Preliminary latch load rating: 15 kN design~~ — superseded by D-003-R, 2026-08-01",DECISIONS.md D-003,,,,N/A-SUPERSEDED,struck in DECISIONS.md; successor pointer checked by G-6,,,
D-003-R,F,Two load ratings: latch tension and stud neck bending,DECISIONS.md D-003-R,,,,,,,,
D-017,A,"Confidence threshold is a swept parameter, and its sweep is a deliverable",DECISIONS.md D-017,,,,,,,,
D-018,A,Approach and tow sector: ±20° about the stud axis (normative),DECISIONS.md D-018,,,,,,,,
D-019,D,Chassis positioning error model (form decided; magnitudes swept),DECISIONS.md D-019,,,,,,,,
D-020,C,Latch success predicate (sim),DECISIONS.md D-020,,,,,,,,
D-021,F,Phase 1 sweep design (DOE),DECISIONS.md D-021,,,,,,,,
D-022,F,Success definition,DECISIONS.md D-022,,,,,,,,
D-023,B,Interim mud-degradation model (until MR-001),DECISIONS.md D-023,,,,,,,,
D-024,D,"Host integration envelope (requirements WyZantium levies, not facts)",DECISIONS.md D-024,,,,,,,,
D-038,F,"Gate-cell trial count: N = 5,000 (DOE addendum to D-032; 2026-08-09)",DECISIONS.md D-038,,,,,,,,
D-037,D,Closed-loop kinematic stage: holds are physically real (retires the T5 open-loop limitation; 2026-08-09),DECISIONS.md D-037,,,,,,,,
D-036,A,Rows 3/4 ring persistence is a time window on the shared wall (closes H-18's third cause; 2026-08-09),DECISIONS.md D-036,,,,,,,,
D-035,A,conf_min is commit-scoped: the row-1 hold wall applies at inner range only (closes H-18's second cause; 2026-08-09),DECISIONS.md D-035,,,,,,,,
D-034,A,"IS §8 row 2 realized with persistence: sustained dark window, not single frame (closes H-18's dominant cause; 2026-08-09)",DECISIONS.md D-034,,,,,,,,
D-033,A,"IS8-18: insertion incomplete at encounter budget (extends §8; T9 review, 2026-08-08)",DECISIONS.md D-033,,,,,,,,
D-032,F,"DOE execution semantics: committed grids, seed rule, spend metering, resume (T10, 2026-08-08)",DECISIONS.md D-032,,,,,,,,
D-031,B,"Open-access literature substitution for the two paywalled dependencies (re-scopes P-06, P-07)",DECISIONS.md D-031,,,,,,,,
D-030,A,`clean_miss` outcome predicate (closes H-14),DECISIONS.md D-030,,,,,,,,
D-029,A,"""Moderate degradation"" defined numerically — the kill-gate cell (closes H-13)",DECISIONS.md D-029,,,,,,,,
D-028,C,"Feasibility-window semantics: intersection, not verdict (repairs the #63 mandate)",DECISIONS.md D-028,,,,,,,,
D-027,C,Funnel compliance topology RATIFIED: T1 — rigid steel funnel on a compliant instrumented base mount (closes H-04),DECISIONS.md D-027,,,,,,,,
D-026,C,Stiffness and head mass are swept; Phase 1 outputs a required-stiffness band,DECISIONS.md D-026,,,,,,,,
D-025,B,"Cam B obliquity: 30°, justified band [15°, 45°]",DECISIONS.md D-025,,,,,,,,
D-004,A,Three-stage terminal guidance,DECISIONS.md D-004,,,,,,,,
D-005,A,Retry loop,DECISIONS.md D-005,,,,,,,,
D-006,D,Two-stage simulation,DECISIONS.md D-006,,,,,,,,
D-007,B,"Perception is injected, not rendered",DECISIONS.md D-007,,,,,,,,
D-008,F,"Perception curves are literature-derived (B′)~~ — superseded by D-008-R, 2026-08-01",DECISIONS.md D-008,,,,N/A-SUPERSEDED,struck in DECISIONS.md; successor pointer checked by G-6,,,
D-008-R,B,"Perception curves are measured where measurable, literature-derived where not",DECISIONS.md D-008-R,,,,,,,,
D-009,F,"No hardware purchases, binding, per NO_HARDWARE.md~~ — superseded by D-009-R, 2026-08-01",DECISIONS.md D-009,,,,N/A-SUPERSEDED,struck in DECISIONS.md; successor pointer checked by G-6,,,
D-009-R,F,No product hardware; instruments via measurement requests only,DECISIONS.md D-009-R,,,,,,,,
D-010,F,"Fiducial family: AprilTag 36h11, reference C implementation",DECISIONS.md D-010,,,,,,,,
D-011,B,Nested two-scale constellation,DECISIONS.md D-011,,,,,,,,
D-012,B,"Simulated sensor parameters, assumed",DECISIONS.md D-012,,,,,,,,
D-013,A,No non-visual fallback that produces metric pose,DECISIONS.md D-013,,,,,,,,
D-014,F,Headline Phase 1 output is a sensitivity curve,DECISIONS.md D-014,,,,,,,,
D-015,D,"Capture envelope at the capture plane: ±35 mm positional, ±10° angular",DECISIONS.md D-015,,,,,,,,
D-016,D,"Provisional interface dimension set (assumed, Phase 2 verifies)",DECISIONS.md D-016,,,,,,,,
WF-C1,E,Version check:,WIRE_FORMAT consumer checklist item 1,,,,,,,,
WF-C2,E,Required fields present:,WIRE_FORMAT consumer checklist item 2,,,,,,,,
WF-C3,E,Frame verification:,WIRE_FORMAT consumer checklist item 3,,,,,,,,
WF-C4,E,Staleness check:,WIRE_FORMAT consumer checklist item 4,,,,,,,,
WF-C5,E,Confidence gate:,WIRE_FORMAT consumer checklist item 5,,,,,,,,
WF-C6,E,Omitted-field handling:,WIRE_FORMAT consumer checklist item 6,,,,,,,,
WF-C7,E,Unknown fields:,WIRE_FORMAT consumer checklist item 7,,,,,,,,
A6-1,F,The sensitivity curve,ARCHITECTURE §6.1,,,,,,,,
A6-2,F,Failure taxonomy,ARCHITECTURE §6.2,,,,,,,,
A6-3,F,"First-attempt and multi-attempt distributions, reported separately",ARCHITECTURE §6.3,,,,,,,,
A6-4,F,"Committed, reproducible dataset",ARCHITECTURE §6.4,,,,,,,,
A6-5,F,Replayable trial artifacts,ARCHITECTURE §6.5,,,,,,,,
A6-6,F,The refusal-rate vs. damage-risk tradeoff curve,ARCHITECTURE §6.6,,,,,,,,
A6-7,F,The required-stiffness band and the feasibility intersection,ARCHITECTURE §6.7,,,,,,,,
FT-P01,A,IS8-16,FAILURE_TAXONOMY precedence item 1,,,,,,,,
FT-P02,A,IS8-11,FAILURE_TAXONOMY precedence item 2,,,,,,,,
FT-P03,A,IS8-12,FAILURE_TAXONOMY precedence item 3,,,,,,,,
FT-P04,A,success,FAILURE_TAXONOMY precedence item 4,,,,,,,,
FT-P05,A,IS8-17,FAILURE_TAXONOMY precedence item 5,,,,,,,,
FT-P06,A,IS8-13,FAILURE_TAXONOMY precedence item 6,,,,,,,,
FT-P07,A,IS8-8,FAILURE_TAXONOMY precedence item 7,,,,,,,,
FT-P08,A,IS8-6,FAILURE_TAXONOMY precedence item 8,,,,,,,,
FT-P09,A,IS8-9,FAILURE_TAXONOMY precedence item 9,,,,,,,,
FT-P10,A,IS8-7,FAILURE_TAXONOMY precedence item 10,,,,,,,,
FT-P11,A,IS8-10,FAILURE_TAXONOMY precedence item 11,,,,,,,,
FT-P12,A,IS8-18,FAILURE_TAXONOMY precedence item 12,,,,,,,,
FT-P13,A,IS8-2,FAILURE_TAXONOMY precedence item 13,,,,,,,,
FT-P14,A,IS8-4,FAILURE_TAXONOMY precedence item 14,,,,,,,,
FT-P15,A,IS8-14,FAILURE_TAXONOMY precedence item 15,,,,,,,,
FT-P16,A,IS8-5,FAILURE_TAXONOMY precedence item 16,,,,,,,,
FT-P17,A,IS8-3,FAILURE_TAXONOMY precedence item 17,,,,,,,,
FT-P18,A,IS8-1,FAILURE_TAXONOMY precedence item 18,,,,,,,,
FT-P19,A,clean_miss,FAILURE_TAXONOMY precedence item 19,,,,,,,,
T-T0,G,"Scaffolding: pyproject, pytest, lint — gate: suite green empty; packages import",PHASE1_PLAN §4 T0,,,,,,,,
T-T1,E,`wirefmt`: schemas + golden fixture + validator + writer** … — gate: golden validates; each negative fixture rejected for its stated reason; write→parse→write…,PHASE1_PLAN §4 T1,,,,,,,,
T-T2,F,`params.py` + scenario loader — gate: transcription test: 65/65 equal to doc values; `sweep_point` serializer covers every §9/§…,PHASE1_PLAN §4 T2,,,,,,,,
T-T3,D,frames/geometry/rng — gate: transform property tests; tag table == IS §3.5; substream independence,PHASE1_PLAN §4 T3,,,,,,,,
T-T4a,D,"D-019 chassis error — gate: statistical gates: GM correlation ≈2 m, Poisson arrivals, exponential slip, ×{0.5,1,2} sc…",PHASE1_PLAN §4 T4a,,,,,,,,
T-T4b,B,Perception injection (all models + seam) — gate: each model vs its committed formula; every emitted line passes `wirefmt`; non-detections …,PHASE1_PLAN §4 T4b,,,,,,,,
T-T4c,C,Engine adapters + conformance suite — gate: suite passes on chosen engine; Newton-vs-MuJoCo decision committed with suite output,PHASE1_PLAN §4 T4c,,,,,,,,
T-T5,D,Kinematic stage + handoff — gate: nominal run hands off at x=+50 mm; synthetic r>160 mm → clean_miss; `HandoffState` fields…,PHASE1_PLAN §4 T5,,,,,,,,
T-T6,A,Gate + guidance state machine — gate: table-driven: commit predicate exact; §8 rows 1–5 stream patterns → specified responses; …,PHASE1_PLAN §4 T6,,,,,,,,
T-T7,C,Contact stage — gate: centered handoff latches (D-020); offset handoff → wrench sign matches; symmetric wedge f…,PHASE1_PLAN §4 T7,,,,,,,,
T-T8,E,`trial.py` + logger end-to-end — gate: full record validates line-by-line; #59 cadence asserted; **same seed twice → byte-identi…,PHASE1_PLAN §4 T8,,,,,,,,
T-T9,A,"Outcome classifier — gate: one constructed trace per class (success, IS8-1..17, clean_miss) → exactly that class; pr…",PHASE1_PLAN §4 T9,,,,,,,,
T-T10,F,DOE runner + probes — gate: 50-trial mini-sweep survives kill/resume; tier cell counts correct; convergence probe hal…,PHASE1_PLAN §4 T10,,,,,,,,
T-T11,E,"Replay + A-007 artifacts — gate: replay bit-identical; artifact generated from a record, labeled *simulated*, carries tria…",PHASE1_PLAN §4 T11,,,,,,,,
T-T12,F,"Analysis + charts — gate: golden mini-dataset → known curve values; **#63 pinned cross-check reproduced: (μ_trac, m…",PHASE1_PLAN §4 T12,,,,,,,,
T-T13,G,"REPORT assembly + CLAIMS rows — gate: every ARCH §6.1–6.7 output present, traceable to committed files",PHASE1_PLAN §4 T13,,,,,,,,
C-01,G,"The Army asked industry, in writing, for autonomous recovery of disabled vehicles under DDIL (June 2026 RFI)",CLAIMS.md C-01,,,,,,,,
C-02,G,No funded recovery program exists yet — the RFI is AAL market research; recovery is not a named prototype mission set,CLAIMS.md C-02,,,,,,,,
C-03,G,"Five vendors selected for Project Sustainment, July 2026, via NAMC",CLAIMS.md C-03,,,,,,,,
C-04,G,MIL-STD-3078 and STUB standardize nothing platform-side; a recovery/docking interface is genuine white space,CLAIMS.md C-04,,,,,,,,
C-05,G,Latch tension rating 15 kN,CLAIMS.md C-05,,,,,,,,
C-06,G,"Stud neck bending governs; 462 N·m design moment, SF ≈ 2.2 at the ±20° sector edge",CLAIMS.md C-06,,,,,,,,
C-07,G,Mud degrades detection per the D-023 model,CLAIMS.md C-07,,,,,,,,
C-08,G,"Camera parameters (1920×1200 global-shutter mono, stated FOVs/extrinsics)",CLAIMS.md C-08,,,,,,,,
C-09,G,Robot-first recovery beats sending soldiers whenever docking success exceeds the robot-to-human sortie risk ratio (~10–35% across the swept…,CLAIMS.md C-09,,,,,,,,
C-10,G,A standardized interface converts open-ended grasping into constrained docking (§1.2 thesis),CLAIMS.md C-10,,,,,,,,
C-11,G,"Useful before it's perfect — refusal is cheap, wrong insertion is expensive",CLAIMS.md C-11,,,,,,,,
C-12,G,"WyZantium's T1 architecture (rigid capture geometry, compliance + instrumentation in the base) matches three independent prior-art traditio…",CLAIMS.md C-12,,,,,,,,
C-13,G,"Traction, not stud bending, sets the compliance stiffness ceiling",CLAIMS.md C-13,,,,,,,,
C-14,G,Phase 1's perception model is **swept across the plausible range** (literature-anchored where the corpus allows — `research/data/perception…,CLAIMS.md C-14,,,,,,,,
ISS-01,D,"IS §4 frame conventions (quaternion w,x,y,z; head_frame +x boresight)",INTERFACE_SPEC §4,,,,,,,,
ISS-02,D,IS §3.5 tag-ID→transform table transcribed exactly,INTERFACE_SPEC §3.5,,,,,,,,
ISS-03,B,IS §3.4 ID/variant block; wrong-ID rejection basis,INTERFACE_SPEC §3.4,,,,,,,,
ISS-04,D,"IS §5 tolerance budget allocations = sweep centers (×{0.5,1,2} via D-019)",INTERFACE_SPEC §5,,,,,,,,
ISS-05,D,IS §6 capture plane x=+50mm; HandoffState field list; 160mm annulus,INTERFACE_SPEC §6,,,,,,,,
ISS-06,C,"IS §6 lip band radial [110,125]mm consistency with IS8-16 detection",INTERFACE_SPEC §6,,,,,,,,
ISS-07,D,IS §7 mounting assumptions vs D-024 envelope,INTERFACE_SPEC §7,,,,,,,,
ISS-08,F,IS §9/§9.1 sweep axes all realized in harness or excluded by recorded decision (H-17 lens),INTERFACE_SPEC §9,,,,,,,,
ISS-09,G,IS §10 known weaknesses still accurate at HEAD,INTERFACE_SPEC §10,,,,,,,,
ISS-10,A,"IS §2.3 confidence-gated abort: refuse→imagery→human, no non-visual metric pose",INTERFACE_SPEC §2.3,,,,,,,,
ISS-11,C,IS §2.1 load-path derivation consistency with T1 model constants,INTERFACE_SPEC §2.1,,,,,,,,
ISS-12,B,IS §3.2 20px robust-decode floor = curves.detection_onset_px,INTERFACE_SPEC §3.2,,,,,,,,
WF-S1,E,Omitted-not-zeroed rule (pose without pose_cov ⇒ pose-absent; worked failure example),WIRE_FORMAT §fields,,,,,,,,
WF-S2,E,"Canonical NDJSON writer: shortest round-trip floats, fixed key order, LF (#60 byte-identity)",WIRE_FORMAT; #60,,,,,,,,
WF-S3,E,"sim_truth cadence: every physics step post-handoff, every kinematic step pre-handoff (#59)",WIRE_FORMAT; #59,,,,,,,,
WF-S4,E,trial_result.false_capture optional additive field (H-16) populated on IS8-16 sub-path,WIRE_FORMAT; H-16,,,,,,,,
WF-S5,E,trial_header #33 solver block + compute-instance identity + curve_set in sweep_point,WIRE_FORMAT; #33/#58,,,,,,,,
A4-1,C,Conformance: offset stud drop — wrench recovers sign+magnitude-ordering of lateral offset,PHASE1_PLAN §3 (1),,,,,,,,
A4-2,C,Conformance: symmetric throat wedge — high-axial/near-zero-lateral signature observable,PHASE1_PLAN §3 (2),,,,,,,,
A4-3,C,"Conformance: lip-band strike — contact radius within [110,125]mm",PHASE1_PLAN §3 (3),,,,,,,,
A4-4,E,Conformance: determinism — same seed twice → identical trajectories (replay contract),PHASE1_PLAN §3 (4),,,,,,,,
A4-5,C,Conformance: spring/restitution/friction sanity vs closed-form single-contact cases,PHASE1_PLAN §3 (5),,,,,,,,
A5-1,F,A-004: both $/1k measurements committed (CPU leg only exists — P-08(a) waiver pending),PHASE1_PLAN §3; ARCH §5,,,,,,,,
A5-2,F,P-02: runner meters cumulative spend against $100 ceiling; ledger cross-foots,PHASE1_PLAN §2 doe/; A-011,,,,,,,,
X-1,F,"Exit: ≥10,000 committed trials",PHASE1_PLAN §7,,,,,,,,
X-2,F,Exit: ARCH §6.1–6.7 outputs present,PHASE1_PLAN §7,,,,,,,,
X-3,F,Exit: gate computed only against pre-committed gate_moderate.json (D-029 verbatim transcription),PHASE1_PLAN §7; D-029,,,,,,,,
X-4,G,Exit: every REPORT claim traceable to a committed file,PHASE1_PLAN §7,,,,,,,,
X-5,G,Exit: CLAIMS rows landed with replay artifacts (A-007),PHASE1_PLAN §7,,,,,,,,
X-6,E,Exit: three load-bearing tests pass before any committed DOE run (golden round-trip; same-seed byte-identical; #63 pinned cross-check),PHASE1_PLAN §7,,,,,,,,
H-17,D,Host pitch/roll swept axes unrealized in harness; D-029 marginalization currently a no-op,HOLES.md H-17,,,,,,,,
FT-15X,A,IS8-15 unreachable as classifier output while remaining in wire enum (test-enforced),FAILURE_TAXONOMY §precedence,,,,,,,,
G-1,G,freeze_prior_v1/MANIFEST.json provenance fields accurate (known: $0-expansion mangle line 18),sim/results/freeze_prior_v1,,,,,,,,
